Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2MlqP1HzhitHfFXPXKumdB,"Rainbow In The Sky - Radio Edit","May The Forze Be With You","Paul Elstak",1995-06-01,207933,1,false,qmusicnl,2025-06-27T16:00:10Z,"happy hardcore,gabber,hardcore,hardstyle,hardcore techno,frenchcore","Cloud 9 Music",0.464,0.936,1,-6.864,0,0.0349,0.000145,0.00516,0.305,0.294,167.983,4
spotify:track:7nFKFcmWf2l7WTyK0g9MHX,"Links Rechts","… En Door","Snollebollekes",2017-02-03,159597,0,false,qmusicnl,2025-06-27T16:00:10Z,"hollands","Berk Music",0.423,0.82,10,-6.027,0,0.205,0.0246,0,0.873,0.665,150.018,4
spotify:track:2C2vSufLm1wLq2GjDH3iMh,"Engelbewaarder","Engelbewaarder","Marco Schuitmaker",2022-09-09,196520,28,false,qmusicnl,2025-06-27T16:00:10Z,"hollands,nederpop","Dino Music",0.799,0.919,8,-4.821,1,0.0398,0.112,0,0.105,0.973,130.006,3
spotify:track:2rgqPSIRAfaO2MGo9smdSX,"Dancing Queen","ABBA Gold","ABBA",2008-01-01,231093,1,false,qmusicnl,2025-06-27T16:00:10Z,"","Universal Music Group",0.512,0.933,9,-4.343,1,0.0504,0.177,0.00129,0.573,0.71,100.543,4
spotify:track:6obJhxyLxEFlNOiqPKVR8i,"Oya lélé","Oya lélé","K3",2003,224946,0,false,qmusicnl,2025-06-27T16:00:10Z,"kindermuziek","Studio 100",0.669,0.903,2,-6.012,1,0.0564,0.00479,0,0.32,0.882,135.041,4
spotify:track:540BsMhL329p3KhB8ZZ7Ez,"Schultenbräu","Schultenbräu","Donnie;Chantal Janzen",2023-06-02,182000,23,false,qmusicnl,2025-06-27T16:00:10Z,"hollands,nederpop","8ball Music / Maradonnie",0.527,0.878,5,-2.674,1,0.0831,0.129,0,0.146,0.663,120.963,4
spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,"Wannabe","Spice","Spice Girls",1996-01-01,173026,81,false,qmusicnl,2025-06-27T16:00:10Z,"","Virgin Records",0.768,0.864,11,-6.149,1,0.0324,0.101,0,0.162,0.891,110.009,4
spotify:track:0vrKBjEBQAVn3sdhIXmpHE,"Terug In De Tijd","Terug In De Tijd","Yves Berendse",2023-06-02,187357,34,false,qmusicnl,2025-06-27T16:00:10Z,"hollands,nederpop","Dino Music",0.65,0.767,8,-7.688,1,0.0458,0.108,0,0.0879,0.536,122.749,4
spotify:track:6oZLgfZMI00Lvb0dNUKhFL,"Atemlos durch die Nacht - Bassflow Main Radio/Video Mix","Atemlos durch die Nacht (The Radio Mixes)","Helene Fischer;Peter Boström",2013-01-01,218333,50,false,qmusicnl,2025-06-27T16:00:10Z,"schlager,schlagerparty,duitse pop","Polydor",0.624,0.909,11,-4.45,1,0.0411,0.0176,0,0.103,0.502,128.026,4
spotify:track:0GiWi4EkPduFWHQyhiKpRB,"Brabant","Guus Meeuwis","Guus Meeuwis",2002,210173,57,false,qmusicnl,2025-06-27T16:00:10Z,"nederpop,hollands","Universal Music, a division of Universal International Music BV",0.407,0.466,7,-7.054,1,0.0311,0.561,0.00894,0.103,0.387,81.568,4
spotify:track:2L5FEDC0MU2a6OEkLjByEd,"Captain Jack - Short Mix","The Mission","Captain Jack",1996-04-24,248533,60,false,qmusicnl,2025-06-22T19:41:17Z,"eurodance,europop","Captain Jack",0.667,0.999,1,-4.375,0,0.0828,0.0726,0.0000416,0.238,0.566,149.875,4
