Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,90,false,1135229191,2026-02-17T10:16:45Z,"","Republic Records",0.513,0.73,1,-5.94,1,0.0598,0.00143,0.0000954,0.0897,0.334,171.001,4
spotify:track:6cx06DFPPHchuUAcTxznu9,"Head & Heart (feat. MNEK)","Head & Heart (feat. MNEK)","Joel Corry;MNEK",2020-07-03,166028,74,false,1135229191,2026-02-17T10:16:45Z,"dance pop","Atlantic Records UK",0.734,0.874,8,-3.158,1,0.0662,0.168,0.0000114,0.0489,0.905,122.953,4
spotify:track:3H7ihDc1dqLriiWXwsc2po,"Breaking Me","Breaking Me","Topic;A7S",2019-12-19,166793,73,false,1135229191,2026-02-17T10:16:45Z,"","Intercord",0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,4
spotify:track:24Yi9hE78yPEbZ4kxyoXAI,"Roses - Imanbek Remix","Roses (Imanbek Remix)","SAINt JHN;Imanbek",2019-10-09,176840,75,true,1135229191,2026-02-17T10:16:45Z,"slaphouse","Columbia/B1 Recordings",0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,4
spotify:track:0bMbDctzMmTyK2j74j3nF3,"Alone, Pt. II","Alone, Pt. II","Alan Walker;Ava Max",2019-12-27,179052,70,false,1135229191,2026-02-17T10:16:45Z,"","Kreatell Music",0.67,0.668,3,-4.306,0,0.0422,0.536,0,0.133,0.608,88.033,4
spotify:track:6UelLqGlWMcVH1E5c4H7lY,"Watermelon Sugar","Fine Line","Harry Styles",2019-12-13,173991,86,false,1135229191,2026-02-17T10:16:45Z,"","Columbia",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4
spotify:track:5OhjkylPjKnmR7I2gnVNwz,"Het Is Al Laat Toch","Het Is Al Laat Toch","Racoon",2020-01-22,208758,52,false,1135229191,2026-02-17T10:16:45Z,"nederpop,hollands","Sony Music Entertainment",0.575,0.369,9,-7.993,1,0.0296,0.848,0.000106,0.129,0.509,81.985,4
spotify:track:7szuecWAPwGoV1e5vGu8tl,"In Your Eyes","After Hours","The Weeknd",2020-03-20,237520,77,true,1135229191,2026-02-17T10:16:45Z,"","Republic Records",0.667,0.719,7,-5.371,0,0.0346,0.0028,0.0000792,0.0736,0.718,100.019,4
spotify:track:1xQ6trAsedVPCdbtDAmk0c,"Savage Love (Laxed - Siren Beat)","Savage Love (Laxed - Siren Beat)","Jawsh 685;Jason Derulo",2020-06-11,171374,71,true,1135229191,2026-02-17T10:16:45Z,"","Columbia",0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,4
spotify:track:7ce20yLkzuXXLUhzIDoZih,"Before You Go","Before You Go","Lewis Capaldi",2019-11-19,215106,68,false,1135229191,2026-02-17T10:16:45Z,"soft pop","Vertigo Berlin",0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,4
spotify:track:61ZM92T2zaXIVsqncThQzC,"In Your Eyes (feat. Alida)","In Your Eyes (feat. Alida)","Robin Schulz;Alida",2020-01-10,208222,58,false,1135229191,2026-02-17T10:16:45Z,"tropical house","WM Germany",0.57,0.672,8,-5.888,0,0.0716,0.172,0.00000104,0.0768,0.461,120.018,4
spotify:track:2MlOUXmcofMackX3bxfSwi,"Jerusalema (feat. Nomcebo Zikode)","Jerusalema","Master KG;Nomcebo Zikode",2020-01-24,342612,72,false,1135229191,2026-02-17T10:16:45Z,"amapiano,gqom","Elektra France",0.88,0.483,1,-7.012,1,0.0505,0.0185,0.00000868,0.0607,0.827,124.009,4
spotify:track:3PfIrDoz19wz7qK7tYeu62,"Don't Start Now","Future Nostalgia","Dua Lipa",2020-03-27,183290,82,false,1135229191,2026-02-17T10:16:45Z,"pop","Warner Records",0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,4
spotify:track:14d79QOV2pvJHH9vlUfZwJ,"Love To Go","Love To Go","Lost Frequencies;Zonderling;Kelvin Jones",2020-04-17,169353,58,false,1135229191,2026-02-17T10:16:45Z,"tropical house,future house","Found Frequencies",0.755,0.783,11,-6.256,1,0.176,0.605,0.00663,0.203,0.419,104.022,4
